nome,clube
Giovanna Queiroz Rodrigues,Círculo Militar de Campinas
Vinícius Bellini Pinto,Associação Atlética Ponte Preta
Beatriz Cruz Senzaki,Associação Atlética Ponte Preta
Sofia Franco Amaral,Guarani Futebol Clube
Miguel Ferreira Senzaki,Sociedade Hípica de Campinas
Maria Cristine Machado,Tênis Clube de Campinas
Eduardo Mesquita Senzaki,Círculo Militar de Campinas
Felipe da Silva da Costa,Associação Atlética Ponte Preta
Miguel da Silva Silva,Círculo Militar de Campinas
Miguel Ferreira Domingues,Sociedade Hípica de Campinas
Sofia Santana Barbosa,Sociedade Hípica de Campinas
Felipe Amorim Soares,Sociedade Hípica de Campinas
Daniel Cruz Campos,Tênis Clube de Campinas
Beatriz Queiroz dos Santos,Associação Atlética Ponte Preta
Livia de Almeida Mengue,Associação Atlética Ponte Preta
Samuel Franco Mengue,Guarani Futebol Clube
Daniel Ferreira Mengue,Tênis Clube de Campinas
Samuel de Oliveira da Costa,Guarani Futebol Clube
Eduardo Santana Silva,Tênis Clube de Campinas
Clara Mesquita Machado,Sociedade Hípica de Campinas
Livia Braz da Costa,Tênis Clube de Campinas
Beatriz Queiroz dos Santos,Sociedade Hípica de Campinas
Eduardo Alves Mengue,Sociedade Hípica de Campinas
Eduardo Cristine Amaral,Guarani Futebol Clube
Daniel de Medeiros Amancio,Guarani Futebol Clube
Matheus de Oliveira Castilho,Sociedade Hípica de Campinas
Samuel Martins Mendes,Guarani Futebol Clube
Erik Franco Silva,Tênis Clube de Campinas
Thiago Fernandes Pereira,Sociedade Hípica de Campinas
Felipe Paschoalino Senzaki,Sociedade Hípica de Campinas
Mariana da Silva Athayde,Guarani Futebol Clube
André Mesquita Lopes,Guarani Futebol Clube
Sofia de Oliveira Ribeiro,Guarani Futebol Clube
Clara Cruz Barbosa,Sociedade Hípica de Campinas
Eduardo Cristine Dias,Círculo Militar de Campinas
João Santana Dias,Tênis Clube de Campinas
Maria Braz Araujo,Tênis Clube de Campinas
Larissa Franco Dias,Tênis Clube de Campinas
Miguel Amorim Silva,Círculo Militar de Campinas
Gabriel Fernandes Campos,Guarani Futebol Clube
Felipe Braz Campos,Guarani Futebol Clube
Erik Gomes Mengue,Círculo Militar de Campinas
Sofia Mesquita dos Santos,Círculo Militar de Campinas
Eduardo Mesquita Rodrigues,Sociedade Hípica de Campinas
Clara Alves Dias,Sociedade Hípica de Campinas
Eduardo Bellini Araujo,Sociedade Hípica de Campinas
Giovanna Fernandes Silva,Tênis Clube de Campinas
Rafael Mesquita Mengue,Círculo Militar de Campinas
André de Medeiros Domingues,Guarani Futebol Clube
Gabriel Fernandes Campos,Associação Atlética Ponte Preta
Beatriz Mesquita Ribeiro,Associação Atlética Ponte Preta
Samuel Alves Barbosa,Sociedade Hípica de Campinas
Daniel de Almeida Soares,Associação Atlética Ponte Preta
Maria Amorim da Costa,Associação Atlética Ponte Preta
Thiago Alves Senzaki,Círculo Militar de Campinas
Miguel Franco Ribeiro,Tênis Clube de Campinas
Rafael Vieira Mendes,Tênis Clube de Campinas
Giovanna Queiroz Pereira,Guarani Futebol Clube
Eduardo Ponciano Pinto,Sociedade Hípica de Campinas
Thiago Braz Mendes,Guarani Futebol Clube
Victor Martins Camargo,Guarani Futebol Clube
Yasmin Mesquita Soares,Tênis Clube de Campinas
Maria Cristine Mengue,Círculo Militar de Campinas
Samuel da Silva Amancio,Tênis Clube de Campinas
Mariana Bellini Lima,Tênis Clube de Campinas
Daniel Ponciano Soares,Sociedade Hípica de Campinas
Matheus Santana Melo,Sociedade Hípica de Campinas
Victor Queiroz Machado,Associação Atlética Ponte Preta
Beatriz Amorim Mendes,Associação Atlética Ponte Preta
Yasmin de Medeiros Domingues,Tênis Clube de Campinas
Clara Cruz Melo,Sociedade Hípica de Campinas
Sofia Matos Pinto,Guarani Futebol Clube
Victor Ferreira Lima,Sociedade Hípica de Campinas
Livia Martins Pinto,Guarani Futebol Clube
Sofia Ferreira Melo,Associação Atlética Ponte Preta
Yasmin Vieira Soares,Tênis Clube de Campinas
Matheus Alves Machado,Tênis Clube de Campinas
Henrique da Silva Silva,Sociedade Hípica de Campinas
João Fernandes Melo,Círculo Militar de Campinas
Livia Ponciano Amaral,Guarani Futebol Clube
Pedro de Oliveira dos Santos,Círculo Militar de Campinas
Gabriel Bellini dos Santos,Sociedade Hípica de Campinas
Larissa Paschoalino Rodrigues,Tênis Clube de Campinas
Rafael Ferreira Domingues,Círculo Militar de Campinas
Gabriel Cristine Silva,Sociedade Hípica de Campinas
Livia de Almeida Amaral,Tênis Clube de Campinas
Beatriz Amorim Ribeiro,Associação Atlética Ponte Preta
Eduardo de Oliveira Silva,Guarani Futebol Clube
Gabriel da Silva Camargo,Associação Atlética Ponte Preta
Vinícius Martins Pereira,Associação Atlética Ponte Preta
Maria Alves Lima,Tênis Clube de Campinas
Maria Cristine Senzaki,Sociedade Hípica de Campinas
Giovanna Bellini Mengue,Associação Atlética Ponte Preta
João Queiroz Araujo,Associação Atlética Ponte Preta
Daniel Santana Trindade,Tênis Clube de Campinas
Vitória da Silva Machado,Guarani Futebol Clube
Vitória de Medeiros Trindade,Associação Atlética Ponte Preta
Sofia Gomes Ribeiro,Guarani Futebol Clube
Livia Vieira Mendes,Tênis Clube de Campinas
Daniel Vieira Barbosa,Tênis Clube de Campinas
Clara de Almeida Mendonça,Associação Atlética Ponte Preta
Vitória Gomes Lopes,Guarani Futebol Clube
Yasmin Ferreira Mengue,Sociedade Hípica de Campinas
Henrique Paschoalino Mendonça,Tênis Clube de Campinas
André Alves Lima,Associação Atlética Ponte Preta
Vinícius Vieira Trindade,Sociedade Hípica de Campinas
Yasmin Vieira Amancio,Guarani Futebol Clube
Larissa Santana Soares,Guarani Futebol Clube
Felipe Queiroz Sanches,Associação Atlética Ponte Preta
Thiago Nascimento Campos,Sociedade Hípica de Campinas
Vitória Paschoalino Amancio,Círculo Militar de Campinas
Clara Matos Barbosa,Tênis Clube de Campinas
Miguel Matos Silva,Tênis Clube de Campinas
Pedro Bellini Dias,Círculo Militar de Campinas
Rafael Queiroz Senzaki,Círculo Militar de Campinas
Vitória Alves Silva,Tênis Clube de Campinas
Henrique Queiroz Lima,Associação Atlética Ponte Preta
Guilherme Mesquita Lopes,Círculo Militar de Campinas
Guilherme Ponciano Soares,Guarani Futebol Clube
Beatriz Ferreira Castilho,Sociedade Hípica de Campinas
Daniel Paschoalino Pereira,Tênis Clube de Campinas
Samuel Mesquita Trindade,Guarani Futebol Clube
Henrique de Almeida Campos,Círculo Militar de Campinas
Maria Bellini Senzaki,Associação Atlética Ponte Preta
André de Almeida Lopes,Círculo Militar de Campinas
Matheus Fernandes Rodrigues,Guarani Futebol Clube
João Matos Castilho,Associação Atlética Ponte Preta
Daniel Braz Ribeiro,Círculo Militar de Campinas
Victor Martins Camargo,Círculo Militar de Campinas
Felipe Fernandes Domingues,Associação Atlética Ponte Preta
André Vieira Lopes,Guarani Futebol Clube
Vitória Gomes Araujo,Guarani Futebol Clube
João Gomes da Costa,Guarani Futebol Clube
Thiago Cristine Senzaki,Associação Atlética Ponte Preta
Erik Amorim Ribeiro,Associação Atlética Ponte Preta
Miguel de Medeiros Senzaki,Guarani Futebol Clube
Beatriz de Almeida da Costa,Tênis Clube de Campinas
Beatriz Amorim Campos,Tênis Clube de Campinas
Mariana de Oliveira Mengue,Círculo Militar de Campinas
Victor Cristine Lopes,Círculo Militar de Campinas
Thiago Ponciano Dias,Guarani Futebol Clube
Guilherme Gomes Campos,Tênis Clube de Campinas
Livia Amorim Senzaki,Tênis Clube de Campinas
Vinícius Vieira Ribeiro,Guarani Futebol Clube
Henrique Cristine Lima,Sociedade Hípica de Campinas
Maria Martins Senzaki,Guarani Futebol Clube
Felipe Gomes dos Santos,Guarani Futebol Clube
Rafael Queiroz Pereira,Círculo Militar de Campinas
Thiago Braz Domingues,Guarani Futebol Clube
Livia Cristine Campos,Associação Atlética Ponte Preta
Livia Paschoalino Trindade,Tênis Clube de Campinas
Beatriz Mesquita Sanches,Tênis Clube de Campinas
Larissa de Oliveira Mendonça,Guarani Futebol Clube
Miguel Vieira Ribeiro,Associação Atlética Ponte Preta
Sofia Queiroz Pereira,Sociedade Hípica de Campinas
Livia da Silva Soares,Tênis Clube de Campinas
Daniel de Oliveira Camargo,Círculo Militar de Campinas
Thiago Cristine Machado,Círculo Militar de Campinas
Clara Mesquita Barbosa,Sociedade Hípica de Campinas
Clara Mesquita Lima,Círculo Militar de Campinas
Sofia Alves Lopes,Tênis Clube de Campinas
Erik Vieira Araujo,Tênis Clube de Campinas
Sofia Cruz Araujo,Guarani Futebol Clube
Beatriz de Oliveira Mengue,Círculo Militar de Campinas
Thiago Bellini Trindade,Tênis Clube de Campinas
Mariana Franco Amaral,Tênis Clube de Campinas
Mariana Martins dos Santos,Sociedade Hípica de Campinas
Yasmin Matos Dias,Sociedade Hípica de Campinas
Vitória Queiroz Pereira,Sociedade Hípica de Campinas
Thiago Mesquita Lopes,Associação Atlética Ponte Preta
Victor Vieira Senzaki,Tênis Clube de Campinas
Clara Vieira Araujo,Guarani Futebol Clube
Sofia Ponciano Pereira,Sociedade Hípica de Campinas
Felipe Cristine Barbosa,Guarani Futebol Clube
Eduardo Amorim Machado,Guarani Futebol Clube
Henrique Ponciano Campos,Círculo Militar de Campinas
Yasmin Nascimento Pinto,Círculo Militar de Campinas
Maria de Almeida Mendonça,Associação Atlética Ponte Preta
Pedro Cristine Domingues,Tênis Clube de Campinas
Gabriel Nascimento Rodrigues,Guarani Futebol Clube
Daniel Paschoalino Athayde,Tênis Clube de Campinas
Pedro Queiroz Senzaki,Sociedade Hípica de Campinas
Thiago Franco Pereira,Sociedade Hípica de Campinas
Yasmin de Medeiros Sanches,Círculo Militar de Campinas
Giovanna Santana Camargo,Sociedade Hípica de Campinas
Samuel Ferreira Mengue,Tênis Clube de Campinas
Thiago Queiroz Camargo,Círculo Militar de Campinas
André de Oliveira Machado,Tênis Clube de Campinas
Gabriel Queiroz Sanches,Guarani Futebol Clube
Yasmin Queiroz Mendonça,Associação Atlética Ponte Preta
Gabriel Franco Soares,Guarani Futebol Clube
Sofia Ferreira Campos,Círculo Militar de Campinas
Erik Nascimento Soares,Guarani Futebol Clube
Yasmin Amorim Domingues,Guarani Futebol Clube
Miguel Santana da Costa,Sociedade Hípica de Campinas
Sofia de Oliveira Athayde,Círculo Militar de Campinas
Thiago Cristine da Costa,Sociedade Hípica de Campinas
Rafael Mesquita Mengue,Associação Atlética Ponte Preta
Clara Nascimento Soares,Guarani Futebol Clube
Vitória Braz Mendonça,Tênis Clube de Campinas
Daniel Mesquita Amaral,Círculo Militar de Campinas
Vitória Vieira Araujo,Tênis Clube de Campinas
Victor Nascimento Domingues,Associação Atlética Ponte Preta
Eduardo Ferreira Sanches,Tênis Clube de Campinas
Victor Ponciano Camargo,Sociedade Hípica de Campinas
Yasmin Ponciano Barbosa,Sociedade Hípica de Campinas
Giovanna de Medeiros Mengue,Sociedade Hípica de Campinas
Giovanna Gomes Lima,Sociedade Hípica de Campinas
Pedro Cristine Mengue,Guarani Futebol Clube
Thiago Queiroz Camargo,Associação Atlética Ponte Preta
Henrique Fernandes Rodrigues,Associação Atlética Ponte Preta
Mariana Ponciano Mendonça,Tênis Clube de Campinas
Mariana Matos Rodrigues,Sociedade Hípica de Campinas
Vinícius Franco Lopes,Sociedade Hípica de Campinas
Maria Fernandes Barbosa,Associação Atlética Ponte Preta
Yasmin Martins Senzaki,Sociedade Hípica de Campinas
João Santana Mendonça,Círculo Militar de Campinas
Eduardo Bellini Araujo,Guarani Futebol Clube
Erik Braz Dias,Tênis Clube de Campinas
Victor Bellini da Costa,Associação Atlética Ponte Preta
Gabriel Vieira Domingues,Sociedade Hípica de Campinas
Samuel Matos Pereira,Sociedade Hípica de Campinas
Henrique Nascimento Melo,Sociedade Hípica de Campinas
Pedro Cruz Mendonça,Círculo Militar de Campinas
Guilherme Queiroz Soares,Tênis Clube de Campinas
Sofia de Medeiros Mengue,Guarani Futebol Clube
Maria Franco Mengue,Tênis Clube de Campinas
Yasmin Gomes Mendes,Associação Atlética Ponte Preta
Beatriz Oliveira de Almeida,Tênis Clube de Campinas
Sofia Braz Lima,Associação Atlética Ponte Preta
Felipe de Oliveira da Costa,Associação Atlética Ponte Preta
Gabriel Matos Camargo,Guarani Futebol Clube
Thiago de Medeiros Melo,Guarani Futebol Clube
Samuel Cruz Lopes,Guarani Futebol Clube
Erik Nascimento Mengue,Associação Atlética Ponte Preta
Vinícius de Oliveira Lima,Círculo Militar de Campinas
Daniel Martins Silva,Tênis Clube de Campinas
André Fernandes Silva,Associação Atlética Ponte Preta
Vinícius Gomes Amancio,Associação Atlética Ponte Preta
Sofia Cristine Mendonça,Tênis Clube de Campinas
Samuel Ferreira Camargo,Círculo Militar de Campinas
Gabriel Bellini Mendes,Círculo Militar de Campinas
Sofia Martins da Costa,Guarani Futebol Clube
Erik de Oliveira Pinto,Círculo Militar de Campinas
Livia Cristine Rodrigues,Círculo Militar de Campinas
Victor Ferreira Campos,Tênis Clube de Campinas
Henrique Cristine Amancio,Tênis Clube de Campinas
Mariana Cristine Rodrigues,Círculo Militar de Campinas
Livia Amorim Dias,Sociedade Hípica de Campinas
Gabriel Nascimento Dias,Guarani Futebol Clube
Vitória Ferreira Araujo,Associação Atlética Ponte Preta
João da Silva Mendonça,Associação Atlética Ponte Preta
Miguel da Silva Athayde,Sociedade Hípica de Campinas
Larissa Matos da Costa,Associação Atlética Ponte Preta
Pedro Martins Silva,Círculo Militar de Campinas
Victor Cristine Amaral,Associação Atlética Ponte Preta
Mariana da Silva Pinto,Sociedade Hípica de Campinas
Larissa Martins Ribeiro,Associação Atlética Ponte Preta
Thiago Nascimento Araujo,Tênis Clube de Campinas
Daniel Amorim Camargo,Círculo Militar de Campinas
João Cristine Mendonça,Círculo Militar de Campinas
Maria de Oliveira Campos,Associação Atlética Ponte Preta
Pedro Franco Mengue,Círculo Militar de Campinas
Pedro Vieira Lima,Guarani Futebol Clube
João Fernandes Araujo,Círculo Militar de Campinas
Clara de Oliveira Dias,Sociedade Hípica de Campinas
Sofia Alves Athayde,Círculo Militar de Campinas
Yasmin Santana Pinto,Sociedade Hípica de Campinas
Giovanna Gomes Domingues,Associação Atlética Ponte Preta
Sofia de Oliveira Athayde,Sociedade Hípica de Campinas
Eduardo Cristine Amaral,Tênis Clube de Campinas
Mariana Mesquita Dias,Sociedade Hípica de Campinas
Sofia Cruz Domingues,Associação Atlética Ponte Preta
Guilherme Mesquita Pinto,Guarani Futebol Clube
Erik Alves Lima,Sociedade Hípica de Campinas
Erik Vieira Lima,Associação Atlética Ponte Preta
Rafael de Medeiros Machado,Associação Atlética Ponte Preta
João Fernandes Mendes,Sociedade Hípica de Campinas
Vinícius de Oliveira Silva,Tênis Clube de Campinas
Livia Amorim Dias,Círculo Militar de Campinas
Guilherme de Oliveira Campos,Guarani Futebol Clube
Daniel Fernandes Ribeiro,Círculo Militar de Campinas
Clara Amorim Lopes,Sociedade Hípica de Campinas
Erik Matos Lopes,Círculo Militar de Campinas
Beatriz Mesquita Camargo,Guarani Futebol Clube
Vinícius de Oliveira Lima,Guarani Futebol Clube
Giovanna de Almeida Rodrigues,Associação Atlética Ponte Preta
Clara de Oliveira Silva,Tênis Clube de Campinas
Gabriel Bellini da Costa,Sociedade Hípica de Campinas
Giovanna de Almeida Dias,Sociedade Hípica de Campinas
Daniel Braz Campos,Guarani Futebol Clube
Vitória Nascimento da Costa,Associação Atlética Ponte Preta
Vitória Braz Silva,Círculo Militar de Campinas
Vitória Amorim Machado,Guarani Futebol Clube
Sofia Franco Amaral,Guarani Futebol Clube
Felipe Cristine Pinto,Círculo Militar de Campinas
Miguel da Silva Silva,Guarani Futebol Clube
Samuel Matos Lima,Círculo Militar de Campinas
Pedro Nascimento Ribeiro,Círculo Militar de Campinas
Mariana Braz Amaral,Tênis Clube de Campinas
Eduardo Alves Pinto,Tênis Clube de Campinas
André Ferreira Pereira,Círculo Militar de Campinas
Thiago Amorim Amaral,Tênis Clube de Campinas
Vinícius de Medeiros Dias,Guarani Futebol Clube
Matheus Franco Barbosa,Tênis Clube de Campinas
Mariana Paschoalino Ribeiro,Tênis Clube de Campinas
Rafael Santana Machado,Guarani Futebol Clube
André Franco Soares,Tênis Clube de Campinas
Daniel Santana dos Santos,Tênis Clube de Campinas
Gabriel Fernandes Campos,Tênis Clube de Campinas
André Braz Athayde,Sociedade Hípica de Campinas
Pedro Ponciano Mendonça,Associação Atlética Ponte Preta
Eduardo Bellini Athayde,Círculo Militar de Campinas
Maria Matos Lima,Sociedade Hípica de Campinas
Clara Cristine Mendes,Sociedade Hípica de Campinas
Daniel de Almeida Castilho,Tênis Clube de Campinas
Pedro Alves Lopes,Círculo Militar de Campinas
João Bellini da Costa,Tênis Clube de Campinas
Maria Ponciano Mendes,Tênis Clube de Campinas
Rafael Gomes Camargo,Círculo Militar de Campinas
Guilherme Franco dos Santos,Guarani Futebol Clube
Sofia Bellini Mendes,Sociedade Hípica de Campinas
Maria Martins Castilho,Associação Atlética Ponte Preta
Samuel Santana Amaral,Círculo Militar de Campinas
Mariana Bellini Lima,Círculo Militar de Campinas
Rafael Ferreira Dias,Círculo Militar de Campinas
Rafael Cruz Domingues,Tênis Clube de Campinas
Larissa de Oliveira Camargo,Associação Atlética Ponte Preta
André Queiroz Castilho,Sociedade Hípica de Campinas
Vinícius Ponciano Castilho,Associação Atlética Ponte Preta
Samuel Bellini Domingues,Guarani Futebol Clube
João Fernandes Ribeiro,Sociedade Hípica de Campinas
Eduardo Mesquita Rodrigues,Círculo Militar de Campinas
Gabriel Fernandes da Costa,Associação Atlética Ponte Preta
Beatriz de Oliveira Machado,Tênis Clube de Campinas
Pedro Cruz Barbosa,Guarani Futebol Clube
Eduardo de Oliveira Silva,Guarani Futebol Clube
Erik Bellini Machado,Sociedade Hípica de Campinas
Mariana Amorim Silva,Sociedade Hípica de Campinas
Livia Martins Soares,Círculo Militar de Campinas
Miguel Ponciano Senzaki,Associação Atlética Ponte Preta
Guilherme de Oliveira Domingues,Guarani Futebol Clube
Eduardo Bellini Camargo,Tênis Clube de Campinas
Daniel de Medeiros dos Santos,Guarani Futebol Clube
Erik Ponciano Camargo,Tênis Clube de Campinas
Daniel Bellini Lima,Tênis Clube de Campinas
Pedro Cruz Lopes,Guarani Futebol Clube
Vinícius Cruz Amancio,Tênis Clube de Campinas
Rafael Braz Barbosa,Associação Atlética Ponte Preta
Pedro Amorim Araujo,Sociedade Hípica de Campinas
Sofia Cruz Araujo,Associação Atlética Ponte Preta
João de Almeida Dias,Guarani Futebol Clube
Miguel de Almeida Amaral,Guarani Futebol Clube
Victor Fernandes Soares,Tênis Clube de Campinas
Larissa Bellini Machado,Tênis Clube de Campinas
Beatriz Paschoalino dos Santos,Sociedade Hípica de Campinas
Matheus Queiroz Amancio,Tênis Clube de Campinas
Livia Santana Lima,Tênis Clube de Campinas
Daniel Alves Lima,Círculo Militar de Campinas
Matheus Queiroz Barbosa,Tênis Clube de Campinas
Victor de Oliveira Lopes,Tênis Clube de Campinas
Vinícius Ferreira Pereira,Círculo Militar de Campinas
Vinícius Alves dos Santos,Sociedade Hípica de Campinas
André Nascimento da Costa,Associação Atlética Ponte Preta
Maria de Almeida Rodrigues,Tênis Clube de Campinas
Eduardo Gomes Barbosa,Círculo Militar de Campinas
Matheus de Medeiros Amaral,Associação Atlética Ponte Preta
Felipe de Medeiros Athayde,Tênis Clube de Campinas
Guilherme de Oliveira Campos,Sociedade Hípica de Campinas
Felipe Franco Camargo,Sociedade Hípica de Campinas
Sofia Ferreira Athayde,Círculo Militar de Campinas
Sofia Vieira Dias,Círculo Militar de Campinas
Sofia Franco Rodrigues,Guarani Futebol Clube
Guilherme Bellini dos Santos,Sociedade Hípica de Campinas
Samuel Vieira Camargo,Tênis Clube de Campinas
Erik de Almeida Sanches,Círculo Militar de Campinas
Thiago Ferreira Soares,Associação Atlética Ponte Preta
Giovanna de Almeida Dias,Guarani Futebol Clube
Samuel Paschoalino Senzaki,Guarani Futebol Clube
Guilherme Ferreira da Costa,Guarani Futebol Clube
Maria da Silva Araujo,Guarani Futebol Clube
Daniel de Almeida Melo,Associação Atlética Ponte Preta
Victor da Silva Amaral,Guarani Futebol Clube
Henrique Paschoalino Camargo,Tênis Clube de Campinas
Mariana Gomes Amancio,Associação Atlética Ponte Preta
Samuel Ferreira Amancio,Guarani Futebol Clube
Mariana Cruz Sanches,Tênis Clube de Campinas
Giovanna Fernandes Castilho,Círculo Militar de Campinas
João Fernandes Amaral,Associação Atlética Ponte Preta
Guilherme Franco Trindade,Tênis Clube de Campinas
João Matos Lopes,Sociedade Hípica de Campinas
Vinícius Gomes Dias,Círculo Militar de Campinas
João Mesquita Camargo,Associação Atlética Ponte Preta
Guilherme Paschoalino Trindade,Sociedade Hípica de Campinas
Vinícius de Almeida Sanches,Círculo Militar de Campinas
Rafael Braz Machado,Círculo Militar de Campinas
Vinícius Queiroz Pinto,Associação Atlética Ponte Preta
João da Silva Sanches,Associação Atlética Ponte Preta
Henrique Martins Sanches,Tênis Clube de Campinas
Sofia Mesquita Soares,Círculo Militar de Campinas
Livia Bellini Machado,Guarani Futebol Clube
Giovanna Fernandes Silva,Guarani Futebol Clube
Beatriz de Almeida Castilho,Tênis Clube de Campinas
Vinícius Matos Melo,Associação Atlética Ponte Preta
Matheus Alves Lopes,Associação Atlética Ponte Preta
Daniel de Oliveira Campos,Tênis Clube de Campinas
Matheus Santana Mengue,Guarani Futebol Clube
Vitória Cruz Amancio,Associação Atlética Ponte Preta
Thiago Mesquita Dias,Tênis Clube de Campinas
Victor Matos dos Santos,Guarani Futebol Clube
Mariana Franco Lopes,Guarani Futebol Clube
Giovanna Martins dos Santos,Associação Atlética Ponte Preta
Guilherme de Oliveira Domingues,Círculo Militar de Campinas
Erik Braz Trindade,Tênis Clube de Campinas
Vitória Nascimento Pinto,Associação Atlética Ponte Preta
Felipe Fernandes Araujo,Sociedade Hípica de Campinas
Gabriel Alves Dias,Guarani Futebol Clube
Samuel Franco Soares,Associação Atlética Ponte Preta
Pedro Cristine Mengue,Círculo Militar de Campinas
André Bellini Machado,Associação Atlética Ponte Preta
Vitória Matos Araujo,Guarani Futebol Clube
Pedro Braz Ribeiro,Guarani Futebol Clube
Sofia de Oliveira Ribeiro,Tênis Clube de Campinas
Gabriel de Almeida Amancio,Círculo Militar de Campinas
Matheus Amorim Barbosa,Tênis Clube de Campinas
Henrique Cruz Soares,Círculo Militar de Campinas
Sofia Fernandes Trindade,Tênis Clube de Campinas
Rafael Alves Amaral,Círculo Militar de Campinas
Henrique Bellini Athayde,Associação Atlética Ponte Preta
Erik Amorim Ribeiro,Guarani Futebol Clube
Victor Franco Amancio,Guarani Futebol Clube
Matheus Santana Ribeiro,Associação Atlética Ponte Preta
João Queiroz Castilho,Círculo Militar de Campinas
Maria Amorim Mendonça,Associação Atlética Ponte Preta
Maria Paschoalino Machado,Tênis Clube de Campinas
André Gomes Barbosa,Guarani Futebol Clube
Erik Ferreira Mendes,Associação Atlética Ponte Preta
João Ferreira Castilho,Tênis Clube de Campinas
Gabriel Martins da Costa,Guarani Futebol Clube
Pedro Ferreira Mendonça,Associação Atlética Ponte Preta
Pedro Bellini Lima,Guarani Futebol Clube
Larissa Amorim da Costa,Associação Atlética Ponte Preta
Miguel de Medeiros dos Santos,Sociedade Hípica de Campinas
André Nascimento dos Santos,Guarani Futebol Clube
Rafael Santana Melo,Sociedade Hípica de Campinas
Giovanna de Medeiros Amancio,Guarani Futebol Clube
Daniel Santana Rodrigues,Associação Atlética Ponte Preta
Henrique Vieira Senzaki,Círculo Militar de Campinas
Felipe Fernandes Pereira,Sociedade Hípica de Campinas
Daniel Queiroz Campos,Tênis Clube de Campinas
Livia Martins Rodrigues,Associação Atlética Ponte Preta
Matheus Braz Machado,Círculo Militar de Campinas
Matheus Braz Trindade,Associação Atlética Ponte Preta
Samuel Cristine Camargo,Tênis Clube de Campinas
André Matos Ribeiro,Tênis Clube de Campinas
Thiago Braz Domingues,Círculo Militar de Campinas
Livia Vieira Campos,Associação Atlética Ponte Preta
Larissa Cruz da Costa,Associação Atlética Ponte Preta
Vitória Cruz Athayde,Guarani Futebol Clube
Samuel Queiroz Soares,Círculo Militar de Campinas
Livia Matos Domingues,Sociedade Hípica de Campinas
Miguel de Almeida Camargo,Associação Atlética Ponte Preta
Daniel Alves Amaral,Guarani Futebol Clube
Larissa Gomes Athayde,Tênis Clube de Campinas
Pedro da Silva Amaral,Sociedade Hípica de Campinas
João Paschoalino Camargo,Tênis Clube de Campinas
Vitória Matos Sanches,Círculo Militar de Campinas
Mariana de Medeiros da Costa,Tênis Clube de Campinas
Erik Alves Domingues,Sociedade Hípica de Campinas
Mariana Ponciano Sanches,Guarani Futebol Clube
Miguel Queiroz Lopes,Guarani Futebol Clube
Samuel Bellini Rodrigues,Associação Atlética Ponte Preta
Thiago Amorim Pinto,Sociedade Hípica de Campinas
Victor Santana Melo,Associação Atlética Ponte Preta
Yasmin Cristine Amancio,Guarani Futebol Clube
Mariana Braz Senzaki,Guarani Futebol Clube
João Matos Amaral,Sociedade Hípica de Campinas
Clara Bellini Lima,Guarani Futebol Clube
Daniel Alves Rodrigues,Círculo Militar de Campinas
Mariana Cristine Mengue,Círculo Militar de Campinas
Gabriel Vieira Mendes,Associação Atlética Ponte Preta
Vinícius Vieira Camargo,Sociedade Hípica de Campinas
Guilherme Matos Silva,Guarani Futebol Clube
Pedro da Silva Machado,Sociedade Hípica de Campinas
Eduardo Matos Rodrigues,Sociedade Hípica de Campinas
Erik Matos Rodrigues,Círculo Militar de Campinas
Giovanna Ferreira Domingues,Guarani Futebol Clube
Sofia Cruz Senzaki,Círculo Militar de Campinas
André Alves Soares,Círculo Militar de Campinas
Thiago Alves Rodrigues,Sociedade Hípica de Campinas
Guilherme Ponciano Rodrigues,Sociedade Hípica de Campinas
Maria Bellini Rodrigues,Guarani Futebol Clube
Pedro Paschoalino Campos,Guarani Futebol Clube
Beatriz Paschoalino Campos,Sociedade Hípica de Campinas
João Alves Mendes,Guarani Futebol Clube
Mariana Gomes Amancio,Sociedade Hípica de Campinas
João Cristine Mendonça,Guarani Futebol Clube
Sofia Nascimento Camargo,Círculo Militar de Campinas
Vinícius Amorim Soares,Guarani Futebol Clube
Samuel Nascimento Campos,Sociedade Hípica de Campinas
Vinícius Bellini Mengue,Associação Atlética Ponte Preta
Clara Martins Senzaki,Círculo Militar de Campinas
Livia de Oliveira dos Santos,Tênis Clube de Campinas
Gabriel Gomes Melo,Sociedade Hípica de Campinas
Gabriel Nascimento Pinto,Círculo Militar de Campinas
Vinícius Ponciano Amaral,Tênis Clube de Campinas
Rafael Fernandes Lopes,Círculo Militar de Campinas
Miguel Ferreira Trindade,Círculo Militar de Campinas
Matheus Bellini Silva,Associação Atlética Ponte Preta
Miguel Santana dos Santos,Círculo Militar de Campinas
Yasmin Alves Soares,Tênis Clube de Campinas
Matheus Queiroz Pereira,Associação Atlética Ponte Preta
Felipe Queiroz da Costa,Associação Atlética Ponte Preta
Vinícius Santana Castilho,Círculo Militar de Campinas
Sofia Ferreira Mendonça,Tênis Clube de Campinas
Rafael Cruz Trindade,Tênis Clube de Campinas
Matheus Matos Dias,Associação Atlética Ponte Preta
Vinícius Amorim Soares,Guarani Futebol Clube
Pedro Queiroz Mendes,Sociedade Hípica de Campinas
Sofia Santana Barbosa,Guarani Futebol Clube
Mariana Cruz Camargo,Guarani Futebol Clube
Daniel de Medeiros Mendonça,Guarani Futebol Clube
Thiago Mesquita Campos,Círculo Militar de Campinas
