nome,placa,marca,cor
Felipe Cruz Machado,DEB0E55,Toyota,Prata
Mariana de Oliveira Rodrigues,CEE2E55,Chevrolet,Cinza
João de Almeida Dias,CEC1A67,Honda,Cinza
Giovanna Fernandes Castilho,AEC4C46,Hyundai,Vermelho
Matheus Nascimento Sanches,FDF7C27,Hyundai,Branco
Felipe de Almeida Amaral,CBA6B67,Chevrolet,Azul Claro
Vitória Bellini Araujo,EBB7C59,Honda,Prata
Thiago de Medeiros Pereira,BCE5B86,VW,Branco
Beatriz Nascimento Araujo,FAA1D74,VW,Azul Claro
Miguel Cruz Amancio,BFE8B74,Fiat,Vermelho
Beatriz de Medeiros Mendes,AFA6B68,Honda,Vermelho
Matheus Santana Melo,FBB9A44,Toyota,Vermelho
André Gomes Castilho,FDA6A46,Chevrolet,Azul Claro
Henrique Nascimento Soares,FAF3B82,Honda,Vermelho
Mariana Matos Campos,ADD2B34,Honda,Prata
Mariana Nascimento Camargo,ECE5D92,Fiat,Vermelho
Livia Braz Barbosa,DDB5D74,Honda,Cinza
Gabriel Bellini da Costa,DAA8E50,Honda,Branco
Erik Matos Lopes,ADB9D92,Chevrolet,Preto
Victor Paschoalino Lopes,BDD0A51,Chevrolet,Azul Claro
André Ponciano Mengue,ABD9D82,Chevrolet,Azul Claro
Victor Fernandes Amancio,EAB4C11,Hyundai,Cinza
Mariana Franco Amaral,EAF7C59,Honda,Cinza
Miguel Martins Rodrigues,CBD1E17,Honda,Azul Claro
Livia Martins Lima,BAB8E64,VW,Preto
Pedro Alves Lopes,DDE4A80,Fiat,Vermelho
Thiago Queiroz Camargo,DBE0A58,Fiat,Branco
Samuel Martins Amaral,DCD1E59,Honda,Preto
Gabriel Queiroz Dias,DAF3C12,Fiat,Vermelho
Mariana de Oliveira Mengue,EDB4B82,Honda,Preto
Mariana Fernandes Mengue,CEA8A32,Toyota,Branco
Pedro Alves Barbosa,ECD1D24,Fiat,Prata
Vitória da Silva Athayde,BAA1D42,Hyundai,Azul Claro
Rafael Amorim Mendonça,ACE4A40,Fiat,Prata
Erik Amorim Soares,FBC2E34,Fiat,Vermelho
Sofia Cristine Mendonça,CDA5D30,VW,Cinza
Mariana Ferreira Dias,ECB2D37,Hyundai,Branco
Guilherme Queiroz Silva,BCF3E54,Honda,Branco
Clara Franco Araujo,BEA4E49,Fiat,Branco
João Vieira Lopes,DEE5D53,Chevrolet,Prata
Vinícius Mesquita Rodrigues,DFC5C94,Hyundai,Branco
Miguel Amorim Silva,CDC0C93,Chevrolet,Vermelho
Thiago Nascimento Campos,CAE2E82,Honda,Prata
Vinícius de Almeida Mendes,BEC5B89,Chevrolet,Branco
Clara Braz Mengue,BAF5B66,Honda,Prata
Miguel Fernandes Soares,AEE0C50,Fiat,Prata
Maria Nascimento dos Santos,ACE4B69,Hyundai,Azul Claro
Daniel de Oliveira da Costa,ECF5D25,VW,Vermelho
Sofia Gomes Mengue,ADD1B48,Hyundai,Cinza
Felipe Martins Trindade,FCA6C38,Fiat,Branco
Rafael da Silva Silva,BCA0B76,Fiat,Vermelho
Vitória Mesquita Machado,BCD5A43,Fiat,Cinza
Sofia Braz Amancio,AAF6B24,Toyota,Branco
Samuel Gomes Pereira,BAA1B41,VW,Cinza
Samuel Mesquita dos Santos,FCF5C86,Hyundai,Preto
Maria Matos Mendes,AAC2A55,Hyundai,Preto
Livia Ferreira Domingues,BEB3C38,VW,Prata
Daniel Ferreira Machado,EAD8B25,Toyota,Branco
Clara Queiroz Barbosa,AFA6D66,Toyota,Preto
Guilherme Fernandes Melo,EEA9C93,Toyota,Preto
Sofia Alves Melo,AAC8B94,VW,Branco
Pedro da Silva Lima,BCD0D46,Honda,Branco
Sofia Ferreira Amancio,FFE0E16,Hyundai,Branco
Henrique Alves Machado,FED3A57,Fiat,Preto
Livia da Silva Soares,AEC6D25,Toyota,Branco
Beatriz Amorim Ribeiro,BFC7E79,Fiat,Branco
Beatriz Cristine Pinto,EBD4E79,VW,Preto
Henrique Bellini Melo,DFF8D75,Hyundai,Azul Claro
João Vieira dos Santos,FAC6D97,VW,Azul Claro
Eduardo Ponciano Rodrigues,DBB4D80,Fiat,Prata
Miguel Ponciano Amaral,FCC2C75,VW,Prata
Larissa Alves dos Santos,BDB9A29,Toyota,Vermelho
Samuel Matos Ribeiro,EEF9C53,Hyundai,Preto
Samuel Franco Machado,CCB2A30,VW,Preto
Matheus de Oliveira Domingues,FFC0E70,Chevrolet,Prata
Pedro Matos Campos,BAF5D38,Honda,Preto
Maria Cristine Lima,FCC6B62,Toyota,Preto
Livia Amorim Mendonça,ADB4B45,Hyundai,Cinza
Larissa Ferreira Trindade,BAF4C47,Honda,Branco
Pedro Paschoalino Mengue,DCA5E73,VW,Branco
Samuel de Oliveira Campos,EBE4E25,Fiat,Preto
Felipe Vieira Senzaki,DDD4D93,Hyundai,Azul Claro
Livia Ponciano Amaral,BBC1A63,Chevrolet,Vermelho
Henrique Vieira Ribeiro,ECD9C85,Honda,Branco
Vinícius Cruz Soares,FDF4D13,Hyundai,Branco
Daniel Paschoalino dos Santos,DDD1A35,Honda,Branco
Giovanna Queiroz Pereira,AAC3E97,Hyundai,Branco
Giovanna Santana Amaral,EEE3C23,Chevrolet,Azul Claro
João Gomes Soares,CCC6E32,Toyota,Cinza
Matheus Matos Dias,FDB1D58,VW,Azul Claro
André Alves Soares,CBC2A28,Toyota,Prata
Sofia Franco Amaral,DEC4E83,Honda,Azul Claro
Samuel Gomes Ribeiro,DAC0A94,Hyundai,Prata
Pedro Fernandes da Costa,BDF1A19,Toyota,Preto
Vitória Cruz Athayde,FFA7C10,Hyundai,Prata
Miguel da Silva Campos,DED9D34,Hyundai,Prata
Larissa Martins Athayde,BBB2A86,Fiat,Azul Claro
Gabriel Vieira Camargo,ADC7E24,Hyundai,Prata
Matheus Amorim Mengue,EEC4C13,Chevrolet,Prata
Thiago Vieira Sanches,FBA4B53,Chevrolet,Cinza
Sofia Fernandes Athayde,CBC8E62,Hyundai,Preto
Thiago Matos Machado,CBF6A42,Fiat,Azul Claro
Yasmin Fernandes Mendes,ADE8E85,Hyundai,Vermelho
Felipe de Oliveira da Costa,CEC4D48,Fiat,Preto
Maria Gomes Ribeiro,DBE6A23,Fiat,Prata
Mariana Martins Mendes,FFD9D21,VW,Cinza
Pedro Nascimento Mengue,EBE5B56,VW,Preto
Livia Queiroz Camargo,CDE0B96,Toyota,Preto
Mariana de Medeiros da Costa,BCC9A71,Fiat,Azul Claro
Pedro de Almeida Amaral,EEC4B14,Honda,Cinza
Maria Amorim Pinto,AFA3A21,Chevrolet,Vermelho
Beatriz Martins Mengue,FEB4C56,Chevrolet,Cinza
Rafael Alves Amaral,DDA0A42,Toyota,Prata
Daniel de Oliveira Mengue,ABF6D85,Toyota,Branco
Gabriel Braz Trindade,BDD8A94,Fiat,Azul Claro
André de Medeiros Sanches,AAB0B77,VW,Branco
Maria de Almeida Mendonça,ADD8D57,Toyota,Preto
Erik Fernandes Silva,BCA1D68,Fiat,Azul Claro
Mariana Cristine Mengue,CBC8E41,Hyundai,Prata
Gabriel Amorim Trindade,BCC4B54,Fiat,Cinza
Guilherme Ponciano Soares,CEE3E67,Chevrolet,Preto
João Fernandes da Costa,EFE2B10,Chevrolet,Prata
Eduardo de Oliveira Lima,BCE0A60,Hyundai,Branco
André Santana Sanches,DBF8E63,VW,Cinza
Vitória Matos Sanches,AAD6A22,Chevrolet,Cinza
Miguel Paschoalino Domingues,FFA9A42,Honda,Cinza
Sofia de Oliveira Rodrigues,DBA8E42,Toyota,Azul Claro
Giovanna Paschoalino Araujo,FAB2E49,Toyota,Azul Claro
Guilherme Cruz Mendonça,AEA8E75,Fiat,Vermelho
Beatriz Amorim Senzaki,DCB1A77,VW,Azul Claro
Guilherme Mesquita Lopes,EDD1D58,Fiat,Preto
Giovanna Fernandes Mengue,AEC7D61,Fiat,Branco
Gabriel da Silva Mendonça,BFD5B61,Hyundai,Prata
João Queiroz Soares,AAE3D45,Toyota,Branco
Yasmin Braz Amaral,CCA8D39,Chevrolet,Azul Claro
Victor Nascimento da Costa,DFF6A29,VW,Vermelho
Samuel Cruz Pereira,BBD0B50,Toyota,Prata
Gabriel Ferreira Barbosa,EAE2C69,Hyundai,Preto
Victor Alves Machado,BAF1A85,Toyota,Vermelho
Miguel Nascimento Melo,EBC3C79,Chevrolet,Preto
João Cruz Lopes,ADD3A37,Toyota,Vermelho
Felipe Alves Pinto,FCC6E60,VW,Branco
Livia Vieira Araujo,FBE3D44,Hyundai,Branco
Maria Alves Athayde,FDE9D96,Hyundai,Cinza
Livia Cristine Trindade,CCA4C22,Fiat,Prata
João Queiroz Amaral,DDF0E18,Hyundai,Vermelho
Larissa Amorim Athayde,EDC7B94,Honda,Vermelho
Vinícius Vieira Trindade,EEF2B12,Chevrolet,Preto
Livia Cristine Mengue,FBA9D88,Fiat,Azul Claro
Thiago Gomes Soares,DEC9B76,Chevrolet,Prata
Felipe Franco Silva,FEF5A71,Hyundai,Preto
Guilherme Ferreira da Costa,EDE3B41,Chevrolet,Prata
Livia Paschoalino Rodrigues,EBF2E52,Fiat,Azul Claro
Larissa Mesquita Rodrigues,AEB9C84,Honda,Azul Claro
Thiago Nascimento Araujo,CFB0B12,Toyota,Preto
Victor Ferreira Soares,ACD1B28,Fiat,Prata
João Cristine Mendes,ECC1E77,Toyota,Azul Claro
Clara Franco Athayde,FBD2D45,Toyota,Prata
Clara Queiroz Soares,EBA2A97,Chevrolet,Vermelho
Giovanna Fernandes Silva,CFD5C25,Honda,Vermelho
Sofia Amorim Campos,CDF3C46,Chevrolet,Prata
Maria Bellini Pereira,BAD9B64,Chevrolet,Preto
Yasmin Martins Barbosa,AED6B21,Toyota,Preto
Matheus Matos Pinto,CFA9B18,Fiat,Prata
Felipe de Oliveira Domingues,EBC7A48,Fiat,Azul Claro
Rafael da Silva Ribeiro,CFB0E12,Fiat,Prata
João Paschoalino Mendonça,ACF5C26,Toyota,Azul Claro
Victor de Almeida Castilho,EED4B19,Chevrolet,Preto
Vinícius Franco Athayde,FEB7C50,Hyundai,Azul Claro
Samuel Queiroz Domingues,ACA6D94,VW,Branco
Victor Queiroz Castilho,CBF9E31,Chevrolet,Prata
João Ferreira Trindade,DDA9B37,Fiat,Prata
Beatriz de Almeida da Costa,CED1E82,Honda,Branco
Giovanna Queiroz Amancio,FCC4E92,Chevrolet,Cinza
Mariana Queiroz Castilho,DAF5A66,Fiat,Azul Claro
Erik Vieira Ribeiro,FEB6C76,Fiat,Preto
Vitória Ponciano Mendes,BEA4D84,Honda,Preto
Pedro Cruz Barbosa,EFC9C89,Toyota,Branco
Maria Franco Araujo,CCF6D86,Chevrolet,Vermelho
Gabriel Queiroz Castilho,EFC1C64,Honda,Branco
Vitória Fernandes Amaral,ABC1C21,Toyota,Branco
Matheus Martins Camargo,ACD0D30,VW,Cinza
Samuel da Silva Rodrigues,AED2B19,VW,Cinza
Guilherme Alves Mendes,EEA1B97,Hyundai,Cinza
Eduardo Franco Amaral,CDC4E89,Chevrolet,Branco
Clara Nascimento Machado,BEF1C56,Fiat,Vermelho
Giovanna Martins Ribeiro,FCA0C61,Chevrolet,Branco
Henrique da Silva Mendonça,CAC1A32,Honda,Cinza
Samuel Bellini Mendes,CCE7D96,VW,Preto
Pedro Mesquita Amaral,CBF8A74,Hyundai,Branco
Felipe Cruz Senzaki,AED9C67,Toyota,Prata
Erik Paschoalino Melo,DDE0C99,Chevrolet,Preto
Gabriel Ponciano Barbosa,CEA5B61,Toyota,Vermelho
Gabriel de Medeiros Silva,CCC7D76,VW,Vermelho
Pedro Fernandes Mengue,BEF5A75,Chevrolet,Preto
André Matos Barbosa,ECB2B89,Honda,Cinza
Clara Gomes Amancio,AFF0C18,VW,Vermelho
Pedro Cruz Castilho,DBA1D45,Chevrolet,Prata
Thiago Nascimento Pereira,BAC2C82,Honda,Azul Claro
André Nascimento Castilho,EAC8D52,VW,Vermelho
Beatriz Martins Senzaki,CCC2E34,Hyundai,Cinza
Vitória Matos Sanches,DBD3A95,Chevrolet,Branco
Larissa Ferreira Rodrigues,CFB2B62,Toyota,Cinza
Clara de Oliveira Lopes,EFB3A61,VW,Azul Claro
Rafael de Oliveira Camargo,BAC4A51,Toyota,Preto
Felipe Cruz Mengue,CAF7B19,Toyota,Vermelho
Daniel Alves Trindade,FFB6D82,Fiat,Cinza
Vitória de Medeiros Rodrigues,FEB5B79,Toyota,Cinza
Vitória Alves Pinto,AEB6B13,VW,Preto
Pedro Paschoalino Pinto,BAA1C41,Honda,Preto
Giovanna Nascimento Sanches,FDA4D84,Honda,Vermelho
Miguel da Silva Silva,AAD0A87,Honda,Vermelho
Mariana Amorim Mendes,AFE8D69,VW,Vermelho
Miguel da Silva Dias,DAC3C20,VW,Branco
Pedro Alves dos Santos,AEE9C56,Hyundai,Prata
Larissa Martins Pereira,DEA2A35,VW,Vermelho
Maria Mesquita Ribeiro,ECC0B78,Chevrolet,Cinza
Beatriz Ferreira Silva,FDE2D72,Toyota,Preto
Maria Martins dos Santos,BBB1A74,Honda,Preto
Giovanna Vieira Castilho,DDF7D54,VW,Cinza
Rafael Cruz Rodrigues,BDF4B73,Hyundai,Branco
Vitória Cruz Amancio,BCB5B51,Hyundai,Preto
Sofia Paschoalino Castilho,DAB0E25,Toyota,Azul Claro
Felipe Vieira Dias,DAF5D39,Fiat,Preto
Rafael Franco Silva,BCB3C49,Toyota,Azul Claro
Matheus Matos Machado,BAA6C51,Fiat,Vermelho
Erik Ferreira Melo,AFB8A14,Honda,Preto
Erik Queiroz Pinto,CCE0B14,Honda,Vermelho
Henrique Nascimento Mengue,EDD8E14,Toyota,Cinza
Samuel Queiroz Silva,ABE5E89,Toyota,Vermelho
Gabriel Ponciano Trindade,DDE5D95,Honda,Branco
Daniel Matos Barbosa,CDA1C67,Fiat,Branco
Samuel Martins Melo,FEB4D58,Chevrolet,Preto
Miguel Queiroz Barbosa,DFB8E96,VW,Branco
Victor de Medeiros Mendes,BEB6D12,Honda,Prata
Vinícius Gomes Dias,BDC3E92,Chevrolet,Cinza
Clara Martins Pereira,CDC9E18,Honda,Prata
Clara Mesquita Camargo,BCF0D51,Honda,Preto
Yasmin Queiroz Castilho,FBA2E85,Hyundai,Branco
Yasmin Queiroz Melo,EFC0B30,Honda,Cinza
Thiago de Medeiros Lopes,CDD1C92,Chevrolet,Prata
Samuel Nascimento Mendes,AAD5E63,Chevrolet,Preto
Gabriel Martins Athayde,BAE1E67,Hyundai,Azul Claro
Clara Martins Castilho,EDB0C56,Hyundai,Prata
Giovanna Ferreira Athayde,FCF9E48,Fiat,Branco
Sofia Bellini Trindade,FEC7A28,VW,Cinza
João Matos Lopes,FCF3E98,Fiat,Branco
João Cristine Amancio,FEF9D71,Honda,Cinza
Henrique Cruz Athayde,EEF8C32,Hyundai,Cinza
Clara Mesquita Machado,DED6E37,Chevrolet,Branco
Samuel Alves Lopes,CDE6B74,VW,Cinza
Guilherme Martins Rodrigues,AEE5E68,Toyota,Vermelho
Daniel Fernandes Amancio,CBD8B69,Toyota,Azul Claro
Mariana Santana Melo,DDA7B83,Hyundai,Prata
Maria Fernandes Amancio,CEA7B72,VW,Prata
Samuel da Silva Sanches,ACB8B83,Toyota,Cinza
Eduardo Santana Barbosa,FCB5E46,Chevrolet,Prata
Vitória Braz Silva,CBA0C41,VW,Vermelho
Thiago Ponciano Araujo,EDA9E64,Hyundai,Azul Claro
Clara Amorim da Costa,ABA7E21,Hyundai,Cinza
André de Almeida dos Santos,BEE6C51,VW,Preto
Vinícius de Medeiros Trindade,BCD0C74,Toyota,Prata
Vinícius Ponciano dos Santos,FCB2C70,Toyota,Prata
Yasmin Santana Rodrigues,DBE2B27,Chevrolet,Cinza
André Fernandes Pereira,FEF2E71,VW,Branco
Guilherme Queiroz Mengue,DFB0E55,Chevrolet,Vermelho
Larissa Vieira Senzaki,FFA6C52,Fiat,Preto
Beatriz Mesquita Rodrigues,BBA0B50,Toyota,Azul Claro
Livia Santana Lima,DFE9D29,Fiat,Preto
Henrique de Almeida Athayde,FBA7C11,Honda,Azul Claro
Henrique Martins dos Santos,CFF1B88,Chevrolet,Prata
Yasmin Gomes Lima,BDE0D48,Toyota,Prata
Livia Gomes Ribeiro,FFB2D68,VW,Prata
Rafael Martins Barbosa,AFC9C25,Toyota,Cinza
Vinícius Queiroz Amaral,BBF7C68,Toyota,Preto
Sofia Ferreira Araujo,CED0A87,Honda,Preto
Henrique Martins Sanches,FBA5B85,Toyota,Preto
Giovanna de Oliveira Senzaki,CAC5E59,Hyundai,Branco
Thiago Fernandes Pereira,CCD7C29,Fiat,Cinza
Vinícius Queiroz Camargo,EEE8A62,Toyota,Cinza
Clara Paschoalino Melo,CBE4D99,Honda,Prata
Vitória Bellini Trindade,ACB9E95,Honda,Cinza
Thiago da Silva Castilho,BAD7A27,Toyota,Prata
Henrique Paschoalino Camargo,FEA6B84,Toyota,Azul Claro
Beatriz Matos da Costa,FFC4D15,VW,Cinza
Matheus da Silva Silva,CCD2A74,Hyundai,Cinza
Matheus Cristine Campos,AFD5A91,Chevrolet,Preto
Eduardo Vieira Araujo,ADE9C74,Toyota,Branco
Felipe Vieira Mendonça,BFE4B40,Chevrolet,Vermelho
Yasmin Gomes da Costa,FDD7D46,Honda,Vermelho
Vitória Mesquita Camargo,DFA5E22,Hyundai,Preto
Pedro Amorim Barbosa,BCB9D61,Honda,Preto
Larissa Martins Amancio,DAA4E46,Fiat,Vermelho
Maria Ferreira Pinto,ADF3A73,Honda,Prata
Vitória Ferreira Dias,EAD2E44,Fiat,Cinza
João Mesquita Camargo,ACE6D24,VW,Cinza
Matheus Amorim Mendes,FAA9D25,VW,Preto
Yasmin Gomes Mendes,BAB8B85,VW,Preto
Yasmin Amorim Sanches,CFD3B13,VW,Vermelho
Gabriel Cristine Pinto,CFC6A59,Chevrolet,Preto
Eduardo Ferreira Athayde,FAC1D16,Hyundai,Preto
Pedro Paschoalino Pereira,CCC5B35,Toyota,Preto
Maria Vieira Camargo,AAF1B30,Fiat,Cinza
Larissa Matos Pereira,FFF8E94,Chevrolet,Branco
João de Medeiros Rodrigues,EAB3A45,Honda,Branco
Henrique Matos da Costa,FBE7B92,Chevrolet,Vermelho
Sofia de Medeiros da Costa,DFA8B99,Honda,Azul Claro
Guilherme Bellini da Costa,CDC0E63,Toyota,Branco
Eduardo Paschoalino Senzaki,CCF9D49,VW,Vermelho
Matheus de Oliveira Amaral,ABD7A73,Honda,Vermelho
Erik da Silva Rodrigues,EDB5D25,Fiat,Azul Claro
Samuel Cruz Barbosa,CEA0E11,Chevrolet,Azul Claro
Clara de Oliveira Pinto,FBE8B44,VW,Prata
Yasmin Queiroz Mendonça,DDC4A10,Hyundai,Azul Claro
Larissa de Medeiros dos Santos,FCB0B79,Chevrolet,Vermelho
Vinícius Queiroz Rodrigues,FBF9D12,Chevrolet,Preto
Yasmin Cristine Silva,CEA6A55,Hyundai,Cinza
Gabriel Ferreira Pereira,ACE2A29,Honda,Azul Claro
Pedro Fernandes Amancio,DCC7D35,Hyundai,Branco
Daniel Paschoalino Rodrigues,DEE1A73,Honda,Preto
Sofia Alves Campos,FFD3B32,Fiat,Azul Claro
Felipe Queiroz Mendonça,DCF5A98,Hyundai,Branco
João Fernandes Araujo,ABC8D75,Honda,Cinza
Yasmin de Medeiros Dias,EFC5D74,Toyota,Cinza
Mariana Queiroz Trindade,BDA8E87,Fiat,Preto
Rafael Ferreira Silva,FBC9E38,Hyundai,Prata
Miguel de Medeiros Campos,DDE4B26,VW,Preto
Pedro de Oliveira Barbosa,ECA9D77,Toyota,Preto
Victor de Almeida Mendes,BCC2A69,Hyundai,Azul Claro
Matheus Queiroz Barbosa,DDA4E46,Hyundai,Branco
Guilherme de Oliveira Lima,BCB6A66,VW,Cinza
Pedro Franco Lopes,AEC7A20,Chevrolet,Azul Claro
Pedro Braz Mendonça,EFB6B37,Honda,Branco
Guilherme de Oliveira Domingues,CBF4A93,Chevrolet,Branco
Samuel Queiroz Araujo,CCE0A97,Fiat,Vermelho
Miguel de Oliveira Pinto,CFD2D39,Honda,Prata
Giovanna Mesquita Amancio,BCA3B19,Fiat,Prata
Mariana de Almeida da Costa,FFE6A11,Chevrolet,Azul Claro
Guilherme Bellini Campos,ECF9B23,Fiat,Prata
Clara de Medeiros Domingues,AAB6B48,Hyundai,Prata
Maria Mesquita da Costa,DCF0C33,Hyundai,Preto
Daniel Fernandes Camargo,FFD8C35,Hyundai,Cinza
Clara Nascimento Sanches,FDF7C48,VW,Preto
Pedro de Almeida Araujo,ACB1A54,Hyundai,Preto
Erik da Silva Mendonça,FFD7C68,Honda,Branco
Larissa Martins Ribeiro,BDE8B28,Toyota,Azul Claro
André Ponciano Castilho,CCF0E41,Honda,Cinza
Mariana Gomes Amancio,FCB4C96,Honda,Azul Claro
Giovanna de Medeiros dos Santos,CCC7B42,Hyundai,Preto
Mariana Santana Domingues,BAC1D12,Fiat,Preto
Guilherme de Oliveira Campos,FBF1A78,Chevrolet,Vermelho
Pedro Bellini Dias,BAB3A56,Honda,Cinza
Clara Ponciano Soares,EFE2D57,Fiat,Prata
Maria Bellini Rodrigues,DDF2D34,VW,Vermelho
Eduardo de Oliveira Camargo,CCF5A45,Fiat,Prata
Vitória da Silva Mendonça,CAB1A27,Toyota,Preto
Pedro Cruz Sanches,FEF0C98,VW,Azul Claro
Thiago Fernandes Athayde,DBF0B29,Fiat,Preto
Miguel Gomes Rodrigues,ACB9E46,Honda,Cinza
Gabriel Cruz Silva,AAA4A93,Hyundai,Cinza
Maria Bellini Senzaki,FBF5D32,VW,Azul Claro
Yasmin Martins Amaral,BFC3D74,Fiat,Vermelho
Daniel Queiroz Mendes,FFD7A52,Honda,Cinza
Mariana Mesquita Trindade,FAF7B72,VW,Branco
Giovanna Franco dos Santos,FAC9C61,Chevrolet,Vermelho
Maria Ferreira Araujo,BFB2B60,Toyota,Preto
Giovanna Martins Lopes,DEF9E20,Toyota,Azul Claro
Henrique Franco Silva,AEA8C24,Fiat,Branco
Mariana Vieira Trindade,ABB4C56,Chevrolet,Branco
Victor da Silva Sanches,BEB4C72,Fiat,Vermelho
Henrique de Almeida da Costa,DBF5D44,Toyota,Azul Claro
Larissa Cristine Castilho,DEF5E12,VW,Cinza
Miguel Bellini Trindade,AFA4D47,Chevrolet,Vermelho
Samuel Cristine Camargo,EDE3E95,Honda,Vermelho
Matheus Franco Pinto,CBA7B97,Hyundai,Preto
Thiago Alves Mengue,AAE7D46,Chevrolet,Vermelho
Gabriel Mesquita Soares,EAC0D71,VW,Vermelho
André Queiroz Sanches,BDA0E60,Honda,Vermelho
Livia Nascimento Rodrigues,BEC9B60,VW,Cinza
Victor de Oliveira Barbosa,EAE8A51,Chevrolet,Prata
Giovanna da Silva Melo,ACF7A37,Fiat,Azul Claro
Mariana Martins dos Santos,DDA1E25,Honda,Azul Claro
Beatriz Cristine Amaral,CEE1C33,Fiat,Vermelho
Clara Matos Silva,CED7D32,Chevrolet,Preto
Beatriz Franco Mendonça,EDE8B27,Honda,Azul Claro
Maria Fernandes Barbosa,BDB1D36,Fiat,Cinza
Miguel de Almeida Amaral,CAA7B91,Hyundai,Preto
Livia Cristine Pinto,CFE8D55,Chevrolet,Vermelho
Miguel Queiroz Ribeiro,BFF4B49,Chevrolet,Cinza
Henrique Bellini Athayde,EDD1D93,Fiat,Azul Claro
Vitória Paschoalino Amancio,CEC1B94,Toyota,Azul Claro
Pedro Bellini Lima,FBE1E39,Toyota,Prata
Miguel Fernandes Soares,CAD1D89,Chevrolet,Prata
Mariana Gomes Mendes,DEC8A93,VW,Vermelho
Giovanna Paschoalino Campos,FCA5A56,Chevrolet,Branco
Thiago Paschoalino Mendes,AAA1B75,Fiat,Cinza
Gabriel da Silva Machado,CCD8C80,Chevrolet,Vermelho
Matheus Santana Melo,BCC8A38,Toyota,Azul Claro
Samuel Ponciano Trindade,AFB4A50,Honda,Azul Claro
Samuel de Medeiros da Costa,EAF4B83,Chevrolet,Prata
Felipe Martins Pereira,CFF0D86,Hyundai,Prata
Eduardo Martins Dias,AAA7A80,Fiat,Preto
Mariana Ponciano Mendonça,AAA1E59,VW,Azul Claro
Victor Alves Barbosa,DDF1E29,Toyota,Cinza
Vinícius Matos Melo,BBB8B80,Hyundai,Azul Claro
Matheus Bellini Mendes,CBE2E50,Fiat,Cinza
Gabriel Paschoalino Melo,BFD8D11,VW,Azul Claro
Yasmin Cristine Senzaki,FDE6D19,Fiat,Cinza
Vinícius Martins Pereira,BCC1A72,Chevrolet,Azul Claro
Pedro Vieira Ribeiro,FAE9B23,VW,Vermelho
Vitória Ponciano Mengue,CEF3D34,Hyundai,Vermelho
Guilherme Gomes Araujo,AFA9D79,Hyundai,Branco
Beatriz da Silva Castilho,CEE9E84,Chevrolet,Vermelho
Rafael Gomes Barbosa,CDB8B66,Chevrolet,Cinza
Guilherme Ferreira Campos,BFC8C89,Chevrolet,Branco
Victor Alves Machado,BAD2E17,Hyundai,Preto
Miguel Mesquita dos Santos,ADB0B79,Honda,Cinza
Mariana Nascimento Pereira,EBA3A95,Toyota,Vermelho
Vitória Braz Pinto,BFD6A37,Chevrolet,Preto
Vitória Vieira Araujo,DBC5E56,Hyundai,Branco
Gabriel Franco Trindade,AEF0E78,Fiat,Preto
Eduardo Gomes Athayde,FDE1E62,Toyota,Cinza
Larissa Franco Ribeiro,ADD3E87,Chevrolet,Cinza
Pedro Cruz Barbosa,CCD0B46,Chevrolet,Prata
Pedro da Silva Mendes,BBD1E55,Chevrolet,Azul Claro
Gabriel Ponciano Athayde,DEB6B18,Chevrolet,Branco
Mariana Vieira Rodrigues,BBE4C19,Chevrolet,Cinza
Samuel da Silva Silva,AAB7E17,Honda,Cinza
Pedro Fernandes Ribeiro,FEF1E65,VW,Preto
Larissa Cruz Ribeiro,EDD9D66,Honda,Cinza
Maria Alves Camargo,BED6E90,Honda,Azul Claro
André Paschoalino Soares,FAB1E26,VW,Branco
Sofia Braz Pereira,ACE2C24,Hyundai,Azul Claro
Eduardo Cruz Ribeiro,BAD5B18,Hyundai,Vermelho
Eduardo de Almeida Lima,AEF2A56,Honda,Azul Claro
Vitória Bellini Ribeiro,EEB5B52,Chevrolet,Preto
Daniel Gomes Campos,CCB3E60,Toyota,Prata
Henrique Amorim Amancio,BDD0D29,Toyota,Preto
Matheus Alves Soares,EDC2C62,Honda,Branco
Samuel Cruz Pinto,FCC5A96,Fiat,Preto
Larissa Paschoalino Trindade,FAC8A40,Hyundai,Branco
Felipe Fernandes Domingues,AFD4B46,Honda,Preto
Erik Martins Pereira,AAB1C49,Chevrolet,Azul Claro
Vinícius Matos Amancio,EDE4C28,VW,Cinza
Gabriel Alves Campos,CBE4D88,VW,Prata
Victor Franco Amancio,BCD2C49,Toyota,Cinza
Daniel Cristine Trindade,FEF9D42,VW,Vermelho
Yasmin Matos Mendes,ECC8A11,Toyota,Cinza
Sofia Cruz Pereira,DAC9B32,Fiat,Cinza
Rafael Cristine Sanches,CEA5E12,Fiat,Branco
Henrique Mesquita Mengue,BBA5B30,Fiat,Preto
Samuel Cruz Ribeiro,EAD5C95,Honda,Preto
Felipe de Almeida da Costa,BCD5D86,VW,Vermelho
Guilherme Paschoalino Trindade,CDF8E87,Toyota,Azul Claro
Matheus Martins Lopes,FDC8A95,Honda,Prata
Beatriz Queiroz Camargo,BDA1B19,VW,Azul Claro
Maria Cristine Pinto,FAD6B54,Hyundai,Azul Claro
Mariana Braz Senzaki,ADF4A21,Hyundai,Preto
Eduardo Queiroz Mendes,ABF1E12,Honda,Vermelho
Livia Fernandes Pereira,EFB4C26,VW,Azul Claro
Vitória Matos Soares,FCA4C84,Fiat,Branco
