id,nome,altura,endereco
1648,Samuel Amorim Senzaki,197,"Rua Maria Monteiro, 1248 - Cambuí"
1649,Samuel Martins dos Santos,185,"Avenida Francisco Glicério, 1765 - Centro"
1650,Larissa da Silva Campos,167,"Rua Barão de Itapura, 2556 - Guanabara"
1651,Yasmin Amorim Sanches,198,"Avenida Anchieta, 163 - Centro"
1652,Eduardo Santana Senzaki,188,"Avenida Andrade Neves, 2569 - Castelo"
1653,Eduardo Bellini dos Santos,181,"Rua Doutor Delfino Cintra, 366 - Vila Itapura"
1654,Erik Franco Silva,173,"Rua Coronel Quirino, 1976 - Cambuí"
1655,Larissa Amorim Amancio,172,"Avenida Albino José Barbosa de Oliveira, 1097 - Barão Geraldo"
1656,Erik Amorim Ribeiro,181,"Rua Marechal Deodoro, 1715 - Vila Itapura"
1657,Miguel Ferreira Lima,186,"Rua Maria Monteiro, 1353 - Cambuí"
1658,Victor Fernandes Soares,161,"Avenida Anchieta, 161 - Centro"
1659,Victor Amorim Castilho,198,"Avenida Albino José Barbosa de Oliveira, 2964 - Barão Geraldo"
1660,Vinícius Braz Barbosa,204,"Rua Doutor Delfino Cintra, 844 - Vila Itapura"
1661,Mariana Braz Silva,162,"Rua Maria Monteiro, 1193 - Cambuí"
1662,Miguel Vieira Ribeiro,172,"Avenida Albino José Barbosa de Oliveira, 602 - Barão Geraldo"
1663,Miguel Amorim Camargo,174,"Rua Coronel Quirino, 361 - Cambuí"
1664,Thiago Bellini Dias,184,"Avenida Anchieta, 371 - Centro"
1665,Beatriz da Silva Machado,190,"Rua Paula Bueno, 968 - Taquaral"
1666,Clara Mesquita Lopes,179,"Avenida Albino José Barbosa de Oliveira, 2474 - Barão Geraldo"
1667,Miguel de Medeiros Athayde,166,"Rua Doutor Delfino Cintra, 151 - Vila Itapura"
1668,João Mesquita Amancio,198,"Rua Marechal Deodoro, 884 - Vila Itapura"
1669,Mariana Vieira Amaral,169,"Avenida Albino José Barbosa de Oliveira, 2216 - Barão Geraldo"
1670,Vinícius Martins Pereira,197,"Rua Barão de Itapura, 2281 - Guanabara"
1671,Miguel Ferreira Mendes,174,"Avenida Brasil, 1585 - Guanabara"
1672,Thiago de Medeiros Lopes,171,"Rua Sampaio Ferraz, 441 - Cambuí"
1673,Thiago Ferreira Castilho,162,"Avenida Brasil, 367 - Guanabara"
1674,Felipe Braz Amaral,168,"Avenida Anchieta, 12 - Centro"
1675,Pedro Martins Silva,198,"Avenida Francisco Glicério, 1494 - Centro"
1676,Beatriz Fernandes Senzaki,185,"Rua Barão de Itapura, 647 - Guanabara"
1677,Thiago Braz Rodrigues,161,"Rua Maria Monteiro, 725 - Cambuí"
1678,Clara Martins Castilho,190,"Avenida Heitor Penteado, 1217 - Taquaral"
1679,Erik de Medeiros Trindade,168,"Avenida Albino José Barbosa de Oliveira, 3431 - Barão Geraldo"
1680,Rafael Fernandes Lopes,161,"Rua Doutor Delfino Cintra, 258 - Vila Itapura"
1681,Samuel Martins Amaral,158,"Avenida Francisco Glicério, 238 - Centro"
1682,Erik da Silva Campos,156,"Avenida Alberto Sarmento, 250 - Castelo"
1683,Guilherme Nascimento Domingues,177,"Avenida Alberto Sarmento, 783 - Castelo"
1684,Larissa Braz Soares,163,"Avenida Alberto Sarmento, 879 - Castelo"
1685,Vinícius de Medeiros da Costa,180,"Avenida Heitor Penteado, 2882 - Taquaral"
1686,Mariana Amorim Pinto,201,"Rua Sampaio Ferraz, 605 - Cambuí"
1687,Clara Braz Senzaki,168,"Rua Coronel Quirino, 1815 - Cambuí"
1688,Sofia Queiroz Pereira,196,"Avenida Brasil, 133 - Guanabara"
1689,Guilherme Bellini Araujo,165,"Avenida Anchieta, 154 - Centro"
1690,Matheus Franco Barbosa,202,"Rua Maria Monteiro, 167 - Cambuí"
1691,Eduardo Braz Amancio,154,"Rua Sampaio Ferraz, 436 - Cambuí"
1692,Victor Queiroz Silva,184,"Avenida Francisco Glicério, 1934 - Centro"
1693,João Mesquita Castilho,161,"Avenida Alberto Sarmento, 1090 - Castelo"
1694,Rafael Queiroz Pereira,174,"Avenida Andrade Neves, 1935 - Castelo"
1695,Eduardo Franco Rodrigues,201,"Avenida Albino José Barbosa de Oliveira, 1828 - Barão Geraldo"
1696,Clara Mesquita Mendes,170,"Rua Marechal Deodoro, 687 - Vila Itapura"
1697,Livia Amorim da Costa,185,"Rua Maria Monteiro, 132 - Cambuí"
1698,Henrique Cruz Soares,202,"Avenida Alberto Sarmento, 365 - Castelo"
1699,Rafael Queiroz Machado,172,"Avenida Brasil, 54 - Guanabara"
1700,Clara Amorim Soares,165,"Avenida Albino José Barbosa de Oliveira, 2794 - Barão Geraldo"
1701,Maria Martins Campos,188,"Avenida Albino José Barbosa de Oliveira, 2353 - Barão Geraldo"
1702,André da Silva Camargo,194,"Rua Barão de Itapura, 3005 - Guanabara"
1703,Erik de Oliveira Pinto,202,"Avenida Anchieta, 963 - Centro"
1704,Larissa Alves dos Santos,191,"Avenida Anchieta, 104 - Centro"
1705,Gabriel Cruz Silva,188,"Rua Barão de Itapura, 612 - Guanabara"
1706,Clara Mesquita Barbosa,163,"Avenida Alberto Sarmento, 830 - Castelo"
1707,Thiago Cristine Machado,180,"Avenida Brasil, 906 - Guanabara"
1708,Larissa Gomes Sanches,154,"Avenida Albino José Barbosa de Oliveira, 3378 - Barão Geraldo"
1709,Yasmin Martins Athayde,184,"Avenida Alberto Sarmento, 969 - Castelo"
1710,Matheus Braz Lima,172,"Avenida Albino José Barbosa de Oliveira, 2683 - Barão Geraldo"
1711,Vinícius Cruz Amaral,178,"Avenida Andrade Neves, 1568 - Castelo"
1712,Livia Cruz Mendonça,192,"Avenida Francisco Glicério, 1531 - Centro"
1713,Erik Matos Lima,160,"Avenida Andrade Neves, 807 - Castelo"
1714,Vinícius de Almeida Araujo,167,"Avenida Heitor Penteado, 437 - Taquaral"
1715,Miguel de Medeiros Domingues,196,"Rua Coronel Quirino, 1335 - Cambuí"
1716,João Queiroz Araujo,161,"Rua Doutor Delfino Cintra, 38 - Vila Itapura"
1717,Gabriel Fernandes Amaral,158,"Avenida Anchieta, 176 - Centro"
1718,Guilherme Fernandes Trindade,159,"Avenida Brasil, 277 - Guanabara"
1719,Sofia Santana Camargo,193,"Avenida Francisco Glicério, 1276 - Centro"
1720,Thiago Alves Sanches,166,"Avenida Francisco Glicério, 142 - Centro"
1721,Felipe da Silva Soares,187,"Avenida Anchieta, 97 - Centro"
1722,Victor Fernandes Lopes,156,"Avenida Brasil, 1991 - Guanabara"
1723,Larissa Mesquita Lima,195,"Rua Maria Monteiro, 654 - Cambuí"
1724,Livia Martins Machado,162,"Rua Coronel Quirino, 117 - Cambuí"
1725,Maria de Almeida Sanches,189,"Rua Paula Bueno, 915 - Taquaral"
1726,Felipe Franco Silva,191,"Avenida Brasil, 1298 - Guanabara"
1727,Giovanna de Medeiros Castilho,158,"Rua Doutor Delfino Cintra, 753 - Vila Itapura"
1728,Pedro da Silva Mendes,199,"Avenida Heitor Penteado, 2888 - Taquaral"
1729,Daniel Matos Barbosa,176,"Avenida Alberto Sarmento, 688 - Castelo"
1730,Samuel Cristine Camargo,151,"Avenida Albino José Barbosa de Oliveira, 2066 - Barão Geraldo"
1731,Clara de Almeida Melo,154,"Rua Marechal Deodoro, 148 - Vila Itapura"
1732,Miguel Martins Silva,178,"Rua Barão de Itapura, 2053 - Guanabara"
1733,Vitória Ponciano Amancio,186,"Avenida Brasil, 1198 - Guanabara"
1734,Gabriel Fernandes Campos,187,"Avenida Francisco Glicério, 1906 - Centro"
1735,André Ponciano Athayde,168,"Rua Sampaio Ferraz, 105 - Cambuí"
1736,Livia Martins Campos,157,"Avenida Alberto Sarmento, 451 - Castelo"
1737,Gabriel Nascimento Amancio,197,"Rua Marechal Deodoro, 1674 - Vila Itapura"
1738,João Santana Mengue,194,"Avenida Alberto Sarmento, 1037 - Castelo"
1739,Henrique Cristine Sanches,150,"Rua Barão de Itapura, 1932 - Guanabara"
1740,Rafael Amorim Pinto,171,"Rua Marechal Deodoro, 794 - Vila Itapura"
1741,Thiago Cruz Silva,201,"Rua Paula Bueno, 982 - Taquaral"
1742,Beatriz Mesquita Sanches,166,"Rua Sampaio Ferraz, 406 - Cambuí"
1743,Pedro Matos Sanches,156,"Avenida Francisco Glicério, 2495 - Centro"
1744,Eduardo Matos Ribeiro,174,"Rua Maria Monteiro, 1171 - Cambuí"
1745,Miguel Franco Mengue,194,"Avenida Andrade Neves, 408 - Castelo"
1746,Clara Paschoalino Melo,153,"Rua Marechal Deodoro, 392 - Vila Itapura"
1747,Felipe Cruz Mendes,185,"Rua Doutor Delfino Cintra, 570 - Vila Itapura"
1748,Yasmin Franco Machado,155,"Rua Marechal Deodoro, 1121 - Vila Itapura"
1749,Maria Cristine Lima,180,"Rua Coronel Quirino, 742 - Cambuí"
1750,Guilherme Santana Camargo,168,"Avenida Anchieta, 175 - Centro"
1751,Daniel de Medeiros Trindade,193,"Rua Coronel Quirino, 1280 - Cambuí"
1752,Maria Amorim da Costa,203,"Rua Paula Bueno, 282 - Taquaral"
1753,Vinícius Fernandes Amancio,188,"Rua Maria Monteiro, 1465 - Cambuí"
1754,Daniel Alves Amaral,176,"Rua Doutor Delfino Cintra, 274 - Vila Itapura"
1755,Sofia Paschoalino Castilho,159,"Avenida Albino José Barbosa de Oliveira, 3135 - Barão Geraldo"
1756,Samuel Ferreira Trindade,175,"Avenida Albino José Barbosa de Oliveira, 517 - Barão Geraldo"
1757,Rafael Cruz Camargo,168,"Rua Barão de Itapura, 262 - Guanabara"
1758,Maria Paschoalino Amaral,188,"Rua Paula Bueno, 921 - Taquaral"
1759,João Santana Dias,152,"Avenida Albino José Barbosa de Oliveira, 1815 - Barão Geraldo"
1760,Maria de Almeida Soares,194,"Rua Paula Bueno, 865 - Taquaral"
1761,Matheus Vieira Machado,162,"Rua Sampaio Ferraz, 433 - Cambuí"
1762,João Vieira Machado,199,"Rua Barão de Itapura, 1176 - Guanabara"
1763,Sofia Martins da Costa,177,"Avenida Alberto Sarmento, 126 - Castelo"
1764,Samuel Gomes Mengue,169,"Avenida Alberto Sarmento, 1158 - Castelo"
1765,Livia Alves Athayde,177,"Rua Maria Monteiro, 225 - Cambuí"
1766,Mariana Nascimento Campos,157,"Rua Paula Bueno, 424 - Taquaral"
1767,Giovanna Paschoalino Campos,190,"Rua Barão de Itapura, 398 - Guanabara"
1768,Thiago Vieira Campos,188,"Avenida Anchieta, 905 - Centro"
1769,Gabriel Queiroz Castilho,150,"Avenida Albino José Barbosa de Oliveira, 1439 - Barão Geraldo"
1770,Daniel Ferreira Araujo,152,"Avenida Albino José Barbosa de Oliveira, 2641 - Barão Geraldo"
1771,Larissa Braz Silva,162,"Rua Barão de Itapura, 546 - Guanabara"
1772,Beatriz da Silva Mendes,177,"Rua Maria Monteiro, 1508 - Cambuí"
1773,Henrique Amorim Mendonça,198,"Rua Coronel Quirino, 1673 - Cambuí"
1774,Vitória Queiroz Lopes,174,"Avenida Albino José Barbosa de Oliveira, 1654 - Barão Geraldo"
1775,Rafael Alves Castilho,182,"Avenida Heitor Penteado, 1309 - Taquaral"
1776,Erik Cruz Amancio,187,"Rua Paula Bueno, 535 - Taquaral"
1777,Rafael Fernandes Athayde,202,"Avenida Andrade Neves, 478 - Castelo"
1778,Guilherme de Oliveira Athayde,155,"Rua Paula Bueno, 178 - Taquaral"
1779,Thiago de Oliveira Athayde,193,"Avenida Brasil, 1934 - Guanabara"
1780,Henrique Mesquita Machado,194,"Avenida Francisco Glicério, 1321 - Centro"
1781,Livia Gomes Ribeiro,181,"Avenida Brasil, 1567 - Guanabara"
1782,Giovanna de Medeiros Lima,194,"Rua Coronel Quirino, 1717 - Cambuí"
1783,Mariana de Oliveira Camargo,196,"Avenida Albino José Barbosa de Oliveira, 884 - Barão Geraldo"
1784,João de Medeiros Barbosa,170,"Rua Maria Monteiro, 56 - Cambuí"
1785,Mariana Braz Melo,165,"Rua Doutor Delfino Cintra, 286 - Vila Itapura"
1786,Daniel da Silva Domingues,203,"Avenida Heitor Penteado, 352 - Taquaral"
1787,Livia Fernandes Pereira,170,"Avenida Francisco Glicério, 1131 - Centro"
1788,Henrique de Almeida Ribeiro,160,"Avenida Albino José Barbosa de Oliveira, 1231 - Barão Geraldo"
1789,Rafael Alves Campos,186,"Rua Doutor Delfino Cintra, 439 - Vila Itapura"
1790,Thiago Martins Melo,185,"Avenida Brasil, 1072 - Guanabara"
1791,Thiago Vieira Araujo,184,"Avenida Francisco Glicério, 388 - Centro"
1792,Maria Vieira Domingues,168,"Avenida Albino José Barbosa de Oliveira, 3095 - Barão Geraldo"
1793,Vinícius de Almeida Mendes,169,"Avenida Heitor Penteado, 823 - Taquaral"
1794,Guilherme Braz Senzaki,167,"Rua Paula Bueno, 1086 - Taquaral"
1795,Clara Braz Soares,196,"Avenida Albino José Barbosa de Oliveira, 2863 - Barão Geraldo"
1796,Guilherme Mesquita Lopes,190,"Avenida Albino José Barbosa de Oliveira, 2848 - Barão Geraldo"
1797,Vinícius Matos Domingues,198,"Rua Barão de Itapura, 140 - Guanabara"
1798,Erik Matos Lopes,163,"Avenida Brasil, 328 - Guanabara"
1799,João Fernandes Athayde,164,"Avenida Alberto Sarmento, 673 - Castelo"
1800,Yasmin da Silva Amaral,180,"Avenida Andrade Neves, 68 - Castelo"
1801,Maria Bellini Castilho,150,"Avenida Anchieta, 966 - Centro"
1802,Thiago de Medeiros Amancio,202,"Avenida Anchieta, 895 - Centro"
1803,Matheus Amorim Pereira,203,"Avenida Heitor Penteado, 2770 - Taquaral"
1804,João Martins da Costa,203,"Avenida Albino José Barbosa de Oliveira, 2142 - Barão Geraldo"
1805,Yasmin Queiroz Mendonça,152,"Avenida Alberto Sarmento, 932 - Castelo"
1806,André Cruz Barbosa,165,"Rua Marechal Deodoro, 1399 - Vila Itapura"
1807,Vinícius Queiroz da Costa,172,"Avenida Albino José Barbosa de Oliveira, 159 - Barão Geraldo"
1808,Miguel de Medeiros Silva,160,"Avenida Francisco Glicério, 1731 - Centro"
1809,Clara Santana Lima,161,"Avenida Alberto Sarmento, 783 - Castelo"
1810,Mariana da Silva Campos,159,"Avenida Anchieta, 224 - Centro"
1811,Livia Ferreira Athayde,181,"Avenida Francisco Glicério, 1526 - Centro"
1812,Vinícius Cruz Soares,165,"Rua Doutor Delfino Cintra, 26 - Vila Itapura"
1813,Miguel da Silva Campos,157,"Rua Paula Bueno, 1128 - Taquaral"
1814,Miguel Vieira Dias,187,"Rua Marechal Deodoro, 1532 - Vila Itapura"
1815,Eduardo Martins Campos,161,"Avenida Albino José Barbosa de Oliveira, 1705 - Barão Geraldo"
1816,Livia Braz Castilho,173,"Avenida Albino José Barbosa de Oliveira, 1452 - Barão Geraldo"
1817,Giovanna Santana Senzaki,177,"Rua Doutor Delfino Cintra, 545 - Vila Itapura"
1818,André de Almeida Ribeiro,202,"Rua Doutor Delfino Cintra, 126 - Vila Itapura"
1819,Samuel Nascimento Mendes,157,"Avenida Anchieta, 448 - Centro"
1820,Daniel Bellini Lima,177,"Avenida Heitor Penteado, 2274 - Taquaral"
1821,Giovanna Matos Lopes,185,"Avenida Brasil, 1795 - Guanabara"
1822,Felipe Franco Camargo,175,"Avenida Albino José Barbosa de Oliveira, 3471 - Barão Geraldo"
1823,Rafael Alves dos Santos,157,"Avenida Andrade Neves, 2607 - Castelo"
1824,Daniel Cruz Barbosa,199,"Avenida Heitor Penteado, 368 - Taquaral"
1825,Clara Fernandes Mendonça,177,"Rua Marechal Deodoro, 283 - Vila Itapura"
1826,Rafael Fernandes Amancio,177,"Avenida Alberto Sarmento, 852 - Castelo"
1827,Thiago Queiroz Barbosa,186,"Rua Coronel Quirino, 1635 - Cambuí"
1828,Henrique Queiroz Campos,190,"Rua Marechal Deodoro, 1397 - Vila Itapura"
1829,Rafael Vieira Mendes,185,"Avenida Albino José Barbosa de Oliveira, 2744 - Barão Geraldo"
1830,Sofia Mesquita Camargo,176,"Rua Paula Bueno, 533 - Taquaral"
1831,Erik Matos Rodrigues,203,"Avenida Anchieta, 574 - Centro"
1832,Rafael Amorim Mendonça,166,"Avenida Albino José Barbosa de Oliveira, 811 - Barão Geraldo"
1833,Thiago da Silva Machado,158,"Rua Doutor Delfino Cintra, 137 - Vila Itapura"
1834,Gabriel Cristine dos Santos,182,"Rua Paula Bueno, 945 - Taquaral"
1835,Thiago Cruz Trindade,202,"Rua Doutor Delfino Cintra, 17 - Vila Itapura"
1836,Thiago Alves Mengue,169,"Avenida Heitor Penteado, 2088 - Taquaral"
1837,João Gomes Dias,162,"Rua Paula Bueno, 641 - Taquaral"
1838,João Fernandes da Costa,177,"Rua Paula Bueno, 594 - Taquaral"
1839,Sofia Cruz Amaral,197,"Rua Coronel Quirino, 166 - Cambuí"
1840,Clara Vieira Camargo,178,"Rua Maria Monteiro, 324 - Cambuí"
1841,Livia Matos Araujo,162,"Rua Doutor Delfino Cintra, 870 - Vila Itapura"
1842,Pedro Martins Domingues,195,"Rua Doutor Delfino Cintra, 353 - Vila Itapura"
1843,Larissa Ponciano Sanches,184,"Avenida Anchieta, 257 - Centro"
1844,Victor Vieira Silva,155,"Rua Barão de Itapura, 889 - Guanabara"
1845,Henrique Amorim Amancio,167,"Rua Barão de Itapura, 311 - Guanabara"
1846,Miguel Fernandes Soares,200,"Rua Doutor Delfino Cintra, 141 - Vila Itapura"
1847,Samuel da Silva Silva,154,"Avenida Andrade Neves, 721 - Castelo"
1848,Vitória Gomes Castilho,196,"Avenida Albino José Barbosa de Oliveira, 2128 - Barão Geraldo"
1849,Victor de Almeida Lima,174,"Avenida Anchieta, 246 - Centro"
1850,Ricardo Cavalcanti de Moraes,192,"Rua Sampaio Ferraz, 139 - Cambuí"
1851,Beatriz Cristine Machado,159,"Avenida Brasil, 1615 - Guanabara"
1852,Eduardo Mesquita Mendonça,179,"Rua Doutor Delfino Cintra, 867 - Vila Itapura"
1853,Erik Braz Rodrigues,199,"Avenida Brasil, 1330 - Guanabara"
1854,Gabriel da Silva Machado,194,"Avenida Francisco Glicério, 392 - Centro"
1855,Guilherme Vieira Melo,154,"Rua Coronel Quirino, 123 - Cambuí"
1856,Felipe Amorim Mendes,204,"Avenida Alberto Sarmento, 66 - Castelo"
1857,Giovanna Cruz Castilho,182,"Avenida Brasil, 1576 - Guanabara"
1858,Guilherme Franco Mendes,203,"Rua Sampaio Ferraz, 143 - Cambuí"
1859,Clara Martins Castilho,150,"Avenida Albino José Barbosa de Oliveira, 774 - Barão Geraldo"
1860,Erik Ferreira Dias,167,"Avenida Francisco Glicério, 1226 - Centro"
1861,Eduardo de Almeida Soares,181,"Avenida Francisco Glicério, 1558 - Centro"
1862,Vinícius Franco Pinto,196,"Rua Doutor Delfino Cintra, 685 - Vila Itapura"
1863,Vitória Ferreira Athayde,198,"Rua Coronel Quirino, 269 - Cambuí"
1864,Vitória Paschoalino Amancio,160,"Avenida Francisco Glicério, 2383 - Centro"
1865,Beatriz Amorim Lima,170,"Rua Marechal Deodoro, 327 - Vila Itapura"
1866,Victor Bellini Castilho,175,"Avenida Albino José Barbosa de Oliveira, 448 - Barão Geraldo"
1867,Felipe Ferreira Domingues,174,"Avenida Anchieta, 278 - Centro"
1868,Vinícius Amorim Mengue,171,"Avenida Francisco Glicério, 326 - Centro"
1869,Pedro Amorim Mendes,176,"Avenida Albino José Barbosa de Oliveira, 3443 - Barão Geraldo"
1870,Guilherme Amorim Camargo,198,"Avenida Anchieta, 113 - Centro"
1871,Pedro Santana da Costa,162,"Avenida Albino José Barbosa de Oliveira, 1704 - Barão Geraldo"
1872,Thiago Queiroz Pereira,182,"Rua Coronel Quirino, 1381 - Cambuí"
1873,Guilherme Fernandes Amancio,183,"Rua Maria Monteiro, 1417 - Cambuí"
1874,Rafael de Medeiros Mendonça,190,"Avenida Albino José Barbosa de Oliveira, 1294 - Barão Geraldo"
1875,Miguel Ponciano Ribeiro,184,"Avenida Andrade Neves, 669 - Castelo"
1876,Miguel de Oliveira Pinto,150,"Avenida Anchieta, 20 - Centro"
1877,Vinícius Cruz Pinto,170,"Avenida Francisco Glicério, 490 - Centro"
1878,Rafael Braz Araujo,197,"Rua Paula Bueno, 1091 - Taquaral"
1879,João Nascimento Silva,204,"Avenida Brasil, 658 - Guanabara"
1880,Larissa da Silva Machado,155,"Rua Barão de Itapura, 598 - Guanabara"
1881,Sofia Cristine Pinto,177,"Avenida Francisco Glicério, 2205 - Centro"
1882,Gabriel Fernandes Senzaki,166,"Rua Sampaio Ferraz, 534 - Cambuí"
1883,Giovanna Fernandes Trindade,154,"Rua Marechal Deodoro, 542 - Vila Itapura"
1884,Eduardo Cristine Athayde,180,"Rua Doutor Delfino Cintra, 127 - Vila Itapura"
1885,Guilherme Nascimento Barbosa,154,"Avenida Francisco Glicério, 1351 - Centro"
1886,Vinícius Ponciano Trindade,187,"Avenida Francisco Glicério, 351 - Centro"
1887,Erik Braz Dias,152,"Avenida Alberto Sarmento, 558 - Castelo"
1888,Yasmin Braz dos Santos,202,"Rua Paula Bueno, 508 - Taquaral"
1889,Larissa de Almeida Ribeiro,172,"Rua Coronel Quirino, 1550 - Cambuí"
1890,Samuel Fernandes Ribeiro,186,"Rua Barão de Itapura, 2013 - Guanabara"
1891,Guilherme Alves Mengue,202,"Avenida Andrade Neves, 1796 - Castelo"
1892,Clara Nascimento Machado,186,"Rua Barão de Itapura, 890 - Guanabara"
1893,Miguel Santana dos Santos,159,"Avenida Heitor Penteado, 820 - Taquaral"
1894,Victor da Silva Athayde,159,"Avenida Andrade Neves, 1619 - Castelo"
1895,Beatriz Mesquita Ribeiro,168,"Rua Sampaio Ferraz, 611 - Cambuí"
1896,Vinícius Amorim Soares,166,"Avenida Heitor Penteado, 853 - Taquaral"
1897,Pedro Mesquita Mendes,170,"Avenida Andrade Neves, 1785 - Castelo"
1898,André Cristine Domingues,163,"Avenida Albino José Barbosa de Oliveira, 2452 - Barão Geraldo"
1899,Eduardo Bellini Araujo,158,"Avenida Andrade Neves, 1315 - Castelo"
1900,João Nascimento Campos,195,"Avenida Brasil, 1578 - Guanabara"
1901,Beatriz Nascimento Athayde,150,"Avenida Albino José Barbosa de Oliveira, 2333 - Barão Geraldo"
1902,Victor Gomes dos Santos,200,"Rua Paula Bueno, 231 - Taquaral"
1903,João Gomes Camargo,194,"Avenida Albino José Barbosa de Oliveira, 148 - Barão Geraldo"
1904,Clara Nascimento Machado,162,"Rua Barão de Itapura, 2503 - Guanabara"
1905,Miguel Gomes Melo,153,"Avenida Albino José Barbosa de Oliveira, 2483 - Barão Geraldo"
1906,Vitória Franco Soares,150,"Rua Doutor Delfino Cintra, 417 - Vila Itapura"
1907,Vinícius Cristine Silva,198,"Rua Maria Monteiro, 378 - Cambuí"
1908,Daniel Nascimento Campos,189,"Rua Doutor Delfino Cintra, 449 - Vila Itapura"
1909,Thiago Braz Mendes,181,"Rua Marechal Deodoro, 832 - Vila Itapura"
1910,João Cruz dos Santos,183,"Avenida Francisco Glicério, 891 - Centro"
1911,Vinícius Martins Pereira,177,"Avenida Andrade Neves, 1533 - Castelo"
1912,Samuel de Medeiros Athayde,180,"Avenida Anchieta, 135 - Centro"
1913,Beatriz Cruz Rodrigues,157,"Rua Coronel Quirino, 1509 - Cambuí"
1914,Henrique Alves Machado,188,"Rua Sampaio Ferraz, 346 - Cambuí"
1915,Miguel Cruz Amaral,175,"Avenida Anchieta, 591 - Centro"
1916,Samuel Cruz Pinto,183,"Rua Doutor Delfino Cintra, 248 - Vila Itapura"
1917,Vinícius Braz Mendonça,203,"Avenida Brasil, 1589 - Guanabara"
1918,Livia Franco Araujo,203,"Avenida Heitor Penteado, 2169 - Taquaral"
1919,Vitória Mesquita Dias,152,"Avenida Francisco Glicério, 2307 - Centro"
1920,Henrique Martins Sanches,199,"Avenida Heitor Penteado, 2360 - Taquaral"
1921,Samuel Gomes Ribeiro,161,"Avenida Andrade Neves, 1792 - Castelo"
1922,Rafael Ferreira Camargo,150,"Rua Paula Bueno, 505 - Taquaral"
1923,Pedro Paschoalino Campos,203,"Avenida Francisco Glicério, 2033 - Centro"
1924,Henrique Queiroz Senzaki,193,"Avenida Albino José Barbosa de Oliveira, 1134 - Barão Geraldo"
1925,Maria Ferreira Camargo,154,"Avenida Albino José Barbosa de Oliveira, 518 - Barão Geraldo"
1926,Thiago Matos Castilho,179,"Avenida Albino José Barbosa de Oliveira, 2473 - Barão Geraldo"
1927,André Franco Ribeiro,179,"Rua Paula Bueno, 584 - Taquaral"
1928,Giovanna Amorim da Costa,166,"Avenida Brasil, 1177 - Guanabara"
1929,Larissa Ferreira Dias,197,"Rua Sampaio Ferraz, 599 - Cambuí"
1930,Gabriel de Medeiros Dias,196,"Rua Coronel Quirino, 682 - Cambuí"
1931,Pedro de Almeida Machado,172,"Avenida Anchieta, 47 - Centro"
1932,Mariana Franco Lima,164,"Avenida Brasil, 1391 - Guanabara"
1933,Vitória Nascimento Silva,186,"Avenida Alberto Sarmento, 152 - Castelo"
1934,Vitória Queiroz Trindade,170,"Avenida Albino José Barbosa de Oliveira, 3409 - Barão Geraldo"
1935,Beatriz Ferreira Rodrigues,163,"Rua Doutor Delfino Cintra, 750 - Vila Itapura"
1936,Daniel de Oliveira Mengue,151,"Rua Paula Bueno, 749 - Taquaral"
1937,Miguel Braz Domingues,160,"Rua Doutor Delfino Cintra, 419 - Vila Itapura"
1938,Eduardo Ponciano Rodrigues,200,"Rua Sampaio Ferraz, 330 - Cambuí"
1939,Felipe Ponciano Machado,188,"Avenida Albino José Barbosa de Oliveira, 1621 - Barão Geraldo"
1940,Larissa Franco Ribeiro,187,"Rua Paula Bueno, 1110 - Taquaral"
1941,Yasmin de Medeiros Rodrigues,183,"Rua Marechal Deodoro, 865 - Vila Itapura"
1942,Eduardo Martins dos Santos,187,"Avenida Brasil, 129 - Guanabara"
1943,Sofia Braz Soares,199,"Avenida Francisco Glicério, 52 - Centro"
1944,Pedro Martins Pereira,183,"Avenida Francisco Glicério, 1332 - Centro"
1945,Henrique de Almeida Lopes,167,"Rua Doutor Delfino Cintra, 241 - Vila Itapura"
1946,Sofia Braz Mendes,179,"Avenida Francisco Glicério, 792 - Centro"
1947,João Queiroz Lima,164,"Avenida Andrade Neves, 2211 - Castelo"
1948,Yasmin Queiroz Castilho,176,"Rua Sampaio Ferraz, 63 - Cambuí"
1949,Thiago Matos Melo,200,"Avenida Heitor Penteado, 463 - Taquaral"
1950,Vinícius Alves dos Santos,183,"Rua Coronel Quirino, 253 - Cambuí"
1951,Gabriel Bellini Mendes,201,"Rua Paula Bueno, 877 - Taquaral"
1952,Guilherme Santana Camargo,187,"Avenida Heitor Penteado, 574 - Taquaral"
1953,Larissa Mesquita Rodrigues,182,"Rua Barão de Itapura, 591 - Guanabara"
1954,Felipe Matos Rodrigues,173,"Avenida Anchieta, 892 - Centro"
1955,Pedro Braz Ribeiro,164,"Avenida Anchieta, 662 - Centro"
1956,João Gomes da Costa,179,"Avenida Albino José Barbosa de Oliveira, 2147 - Barão Geraldo"
1957,Yasmin Bellini Camargo,204,"Avenida Brasil, 1967 - Guanabara"
1958,Daniel Ferreira Soares,191,"Avenida Andrade Neves, 1159 - Castelo"
1959,Sofia Nascimento Pereira,200,"Rua Paula Bueno, 562 - Taquaral"
1960,Vitória da Silva Lima,166,"Rua Coronel Quirino, 1669 - Cambuí"
1961,Thiago Cruz Camargo,154,"Avenida Heitor Penteado, 1455 - Taquaral"
1962,Beatriz Mesquita Rodrigues,178,"Avenida Brasil, 853 - Guanabara"
1963,Clara da Silva Lopes,153,"Avenida Alberto Sarmento, 163 - Castelo"
